"TIME","GEO","UNIT","SECTOR","TYPE","NA_ITEM","Value","Flag and Footnotes"
"2011","Ireland","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","1.9",""
"2011","Ireland","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.3",""
"2011","Ireland","Percentage of total","General government","Cultural services","Total general government expenditure","0.9",""
"2011","Ireland","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.7",""
"2011","Ireland","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.0",""
"2011","Ireland","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2011","Ireland","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.0",""
"2011","Greece","Million euro","General government","Recreation, culture and religion","Total general government expenditure","1,274.0",""
"2011","Greece","Million euro","General government","Recreational and sporting services","Total general government expenditure","361.0",""
"2011","Greece","Million euro","General government","Cultural services","Total general government expenditure","216.0",""
"2011","Greece","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","291.0",""
"2011","Greece","Million euro","General government","Religious and other community services","Total general government expenditure","22.0",""
"2011","Greece","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2011","Greece","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","384.0",""
"2011","Greece","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","1.1",""
"2011","Greece","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.3",""
"2011","Greece","Percentage of total","General government","Cultural services","Total general government expenditure","0.2",""
"2011","Greece","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.3",""
"2011","Greece","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.0",""
"2011","Greece","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2011","Greece","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.3",""
"2011","Spain","Million euro","General government","Recreation, culture and religion","Total general government expenditure","16,041.0",""
"2011","Spain","Million euro","General government","Recreational and sporting services","Total general government expenditure","5,040.0",""
"2011","Spain","Million euro","General government","Cultural services","Total general government expenditure","6,143.0",""
"2011","Spain","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","3,095.0",""
"2011","Spain","Million euro","General government","Religious and other community services","Total general government expenditure","1,409.0",""
"2011","Spain","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","105.0",""
"2011","Spain","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","249.0",""
"2011","Spain","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","3.3",""
"2011","Spain","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","1.0",""
"2011","Spain","Percentage of total","General government","Cultural services","Total general government expenditure","1.3",""
"2011","Spain","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.6",""
"2011","Spain","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.3",""
"2011","Spain","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2011","Spain","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.1",""
"2011","France","Million euro","General government","Recreation, culture and religion","Total general government expenditure","31,764.0",""
"2011","France","Million euro","General government","Recreational and sporting services","Total general government expenditure","12,033.0",""
"2011","France","Million euro","General government","Cultural services","Total general government expenditure","15,481.0",""
"2011","France","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","3,787.0",""
"2011","France","Million euro","General government","Religious and other community services","Total general government expenditure","421.0",""
"2011","France","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2011","France","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","43.0",""
"2011","France","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","2.7",""
"2011","France","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","1.0",""
"2011","France","Percentage of total","General government","Cultural services","Total general government expenditure","1.3",""
"2011","France","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.3",""
"2011","France","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.0",""
"2011","France","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2011","France","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.0",""
"2011","Croatia","Million euro","General government","Recreation, culture and religion","Total general government expenditure","766.2",""
"2011","Croatia","Million euro","General government","Recreational and sporting services","Total general government expenditure","226.5",""
"2011","Croatia","Million euro","General government","Cultural services","Total general government expenditure","314.1",""
"2011","Croatia","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","158.6",""
"2011","Croatia","Million euro","General government","Religious and other community services","Total general government expenditure","14.4",""
"2011","Croatia","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","10.0",""
"2011","Croatia","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","42.6",""
"2011","Croatia","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","3.5",""
"2011","Croatia","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","1.0",""
"2011","Croatia","Percentage of total","General government","Cultural services","Total general government expenditure","1.4",""
"2011","Croatia","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.7",""
"2011","Croatia","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.1",""
"2011","Croatia","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2011","Croatia","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.2",""
"2011","Italy","Million euro","General government","Recreation, culture and religion","Total general government expenditure","10,610.5",""
"2011","Italy","Million euro","General government","Recreational and sporting services","Total general government expenditure","3,749.4",""
"2011","Italy","Million euro","General government","Cultural services","Total general government expenditure","4,926.0",""
"2011","Italy","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","418.1",""
"2011","Italy","Million euro","General government","Religious and other community services","Total general government expenditure","1,378.0",""
"2011","Italy","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","50.0",""
"2011","Italy","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","89.0",""
"2011","Italy","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","1.3",""
"2011","Italy","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.5",""
"2011","Italy","Percentage of total","General government","Cultural services","Total general government expenditure","0.6",""
"2011","Italy","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.1",""
"2011","Italy","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.2",""
"2011","Italy","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2011","Italy","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.0",""
"2011","Cyprus","Million euro","General government","Recreation, culture and religion","Total general government expenditure","233.4",""
"2011","Cyprus","Million euro","General government","Recreational and sporting services","Total general government expenditure","82.5",""
"2011","Cyprus","Million euro","General government","Cultural services","Total general government expenditure","74.5",""
"2011","Cyprus","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","55.2",""
"2011","Cyprus","Million euro","General government","Religious and other community services","Total general government expenditure","20.6",""
"2011","Cyprus","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","0.6",""
"2011","Cyprus","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.0",""
"2011","Cyprus","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","2.8",""
"2011","Cyprus","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","1.0",""
"2011","Cyprus","Percentage of total","General government","Cultural services","Total general government expenditure","0.9",""
"2011","Cyprus","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.7",""
"2011","Cyprus","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.2",""
"2011","Cyprus","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2011","Cyprus","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.0",""
"2011","Latvia","Million euro","General government","Recreation, culture and religion","Total general government expenditure","352.0",""
"2011","Latvia","Million euro","General government","Recreational and sporting services","Total general government expenditure","98.4",""
"2011","Latvia","Million euro","General government","Cultural services","Total general government expenditure","200.3",""
"2011","Latvia","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","30.8",""
"2011","Latvia","Million euro","General government","Religious and other community services","Total general government expenditure","1.7",""
"2011","Latvia","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2011","Latvia","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","20.7",""
"2011","Latvia","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","4.2",""
"2011","Latvia","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","1.2",""
"2011","Latvia","Percentage of total","General government","Cultural services","Total general government expenditure","2.4",""
"2011","Latvia","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.4",""
"2011","Latvia","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.0",""
"2011","Latvia","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2011","Latvia","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.2",""
"2011","Lithuania","Million euro","General government","Recreation, culture and religion","Total general government expenditure","297.8",""
"2011","Lithuania","Million euro","General government","Recreational and sporting services","Total general government expenditure","81.3",""
"2011","Lithuania","Million euro","General government","Cultural services","Total general government expenditure","184.8",""
"2011","Lithuania","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","20.5",""
"2011","Lithuania","Million euro","General government","Religious and other community services","Total general government expenditure","5.1",""
"2011","Lithuania","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure",":","z"
"2011","Lithuania","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","6.0",""
"2011","Lithuania","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","2.2",""
"2011","Lithuania","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.6",""
"2011","Lithuania","Percentage of total","General government","Cultural services","Total general government expenditure","1.4",""
"2011","Lithuania","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.2",""
"2011","Lithuania","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.0",""
"2011","Lithuania","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure",":","z"
"2011","Lithuania","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.0",""
"2011","Luxembourg","Million euro","General government","Recreation, culture and religion","Total general government expenditure","477.2",""
"2011","Luxembourg","Million euro","General government","Recreational and sporting services","Total general government expenditure","165.3",""
"2011","Luxembourg","Million euro","General government","Cultural services","Total general government expenditure","205.9",""
"2011","Luxembourg","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","28.6",""
"2011","Luxembourg","Million euro","General government","Religious and other community services","Total general government expenditure","40.5",""
"2011","Luxembourg","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","4.7",""
"2011","Luxembourg","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","32.2",""
"2011","Luxembourg","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","2.6",""
"2011","Luxembourg","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.9",""
"2011","Luxembourg","Percentage of total","General government","Cultural services","Total general government expenditure","1.1",""
"2011","Luxembourg","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.2",""
"2011","Luxembourg","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.2",""
"2011","Luxembourg","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2011","Luxembourg","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.2",""
"2011","Hungary","Million euro","General government","Recreation, culture and religion","Total general government expenditure","1,779.9",""
"2011","Hungary","Million euro","General government","Recreational and sporting services","Total general government expenditure","341.5",""
"2011","Hungary","Million euro","General government","Cultural services","Total general government expenditure","785.6",""
"2011","Hungary","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","344.0",""
"2011","Hungary","Million euro","General government","Religious and other community services","Total general government expenditure","290.3",""
"2011","Hungary","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","9.1",""
"2011","Hungary","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","9.3",""
"2011","Hungary","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","3.6",""
"2011","Hungary","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.7",""
"2011","Hungary","Percentage of total","General government","Cultural services","Total general government expenditure","1.6",""
"2011","Hungary","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.7",""
"2011","Hungary","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.6",""
"2011","Hungary","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2011","Hungary","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.0",""
"2011","Malta","Million euro","General government","Recreation, culture and religion","Total general government expenditure","58.3",""
"2011","Malta","Million euro","General government","Recreational and sporting services","Total general government expenditure","10.9",""
"2011","Malta","Million euro","General government","Cultural services","Total general government expenditure","40.0",""
"2011","Malta","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","2.9",""
"2011","Malta","Million euro","General government","Religious and other community services","Total general government expenditure","1.1",""
"2011","Malta","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","0.1",""
"2011","Malta","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","3.3",""
"2011","Malta","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","2.1",""
"2011","Malta","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.4",""
"2011","Malta","Percentage of total","General government","Cultural services","Total general government expenditure","1.4",""
"2011","Malta","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.1",""
"2011","Malta","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.0",""
"2011","Malta","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2011","Malta","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.1",""
"2011","Netherlands","Million euro","General government","Recreation, culture and religion","Total general government expenditure","9,431.0",""
"2011","Netherlands","Million euro","General government","Recreational and sporting services","Total general government expenditure","3,833.0",""
"2011","Netherlands","Million euro","General government","Cultural services","Total general government expenditure","3,284.0",""
"2011","Netherlands","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","1,308.0",""
"2011","Netherlands","Million euro","General government","Religious and other community services","Total general government expenditure","506.0",""
"2011","Netherlands","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","164.0",""
"2011","Netherlands","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","336.0",""
"2011","Netherlands","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","3.1",""
"2011","Netherlands","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","1.3",""
"2011","Netherlands","Percentage of total","General government","Cultural services","Total general government expenditure","1.1",""
"2011","Netherlands","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.4",""
"2011","Netherlands","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.2",""
"2011","Netherlands","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.1",""
"2011","Netherlands","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.1",""
"2011","Austria","Million euro","General government","Recreation, culture and religion","Total general government expenditure","3,917.0",""
"2011","Austria","Million euro","General government","Recreational and sporting services","Total general government expenditure","832.8",""
"2011","Austria","Million euro","General government","Cultural services","Total general government expenditure","1,778.2",""
"2011","Austria","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","1,108.0",""
"2011","Austria","Million euro","General government","Religious and other community services","Total general government expenditure","130.3",""
"2011","Austria","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","66.2",""
"2011","Austria","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","1.5",""
"2011","Austria","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","2.5",""
"2011","Austria","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.5",""
"2011","Austria","Percentage of total","General government","Cultural services","Total general government expenditure","1.1",""
"2011","Austria","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.7",""
"2011","Austria","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.1",""
"2011","Austria","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2011","Austria","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.0",""
"2011","Poland","Million euro","General government","Recreation, culture and religion","Total general government expenditure","4,937.6",""
"2011","Poland","Million euro","General government","Recreational and sporting services","Total general government expenditure","2,157.8",""
"2011","Poland","Million euro","General government","Cultural services","Total general government expenditure","2,447.9",""
"2011","Poland","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","162.2",""
"2011","Poland","Million euro","General government","Religious and other community services","Total general government expenditure","70.6",""
"2011","Poland","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","66.3",""
"2011","Poland","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","32.8",""
"2011","Poland","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","2.9",""
"2011","Poland","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","1.3",""
"2011","Poland","Percentage of total","General government","Cultural services","Total general government expenditure","1.5",""
"2011","Poland","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.1",""
"2011","Poland","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.0",""
"2011","Poland","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2011","Poland","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.0",""
"2011","Portugal","Million euro","General government","Recreation, culture and religion","Total general government expenditure","2,036.7",""
"2011","Portugal","Million euro","General government","Recreational and sporting services","Total general government expenditure","676.4",""
"2011","Portugal","Million euro","General government","Cultural services","Total general government expenditure","647.6",""
"2011","Portugal","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","321.7",""
"2011","Portugal","Million euro","General government","Religious and other community services","Total general government expenditure","17.1",""
"2011","Portugal","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","221.5",""
"2011","Portugal","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","152.5",""
"2011","Portugal","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","2.3",""
"2011","Portugal","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.8",""
"2011","Portugal","Percentage of total","General government","Cultural services","Total general government expenditure","0.7",""
"2011","Portugal","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.4",""
"2011","Portugal","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.0",""
"2011","Portugal","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.3",""
"2011","Portugal","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.2",""
"2011","Romania","Million euro","General government","Recreation, culture and religion","Total general government expenditure","1,409.9",""
"2011","Romania","Million euro","General government","Recreational and sporting services","Total general government expenditure","466.6",""
"2011","Romania","Million euro","General government","Cultural services","Total general government expenditure","596.4",""
"2011","Romania","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","0.0",""
"2011","Romania","Million euro","General government","Religious and other community services","Total general government expenditure","175.7",""
"2011","Romania","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2011","Romania","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","171.2",""
"2011","Romania","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","2.7",""
"2011","Romania","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.9",""
"2011","Romania","Percentage of total","General government","Cultural services","Total general government expenditure","1.1",""
"2011","Romania","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.0",""
"2011","Romania","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.3",""
"2011","Romania","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2011","Romania","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.3",""
"2011","Slovenia","Million euro","General government","Recreation, culture and religion","Total general government expenditure","694.0",""
"2011","Slovenia","Million euro","General government","Recreational and sporting services","Total general government expenditure","127.8",""
"2011","Slovenia","Million euro","General government","Cultural services","Total general government expenditure","310.7",""
"2011","Slovenia","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","155.8",""
"2011","Slovenia","Million euro","General government","Religious and other community services","Total general government expenditure","38.1",""
"2011","Slovenia","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","0.4",""
"2011","Slovenia","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","61.3",""
"2011","Slovenia","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","3.7",""
"2011","Slovenia","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.7",""
"2011","Slovenia","Percentage of total","General government","Cultural services","Total general government expenditure","1.6",""
"2011","Slovenia","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.8",""
"2011","Slovenia","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.2",""
"2011","Slovenia","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2011","Slovenia","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.3",""
"2011","Slovakia","Million euro","General government","Recreation, culture and religion","Total general government expenditure","713.3",""
"2011","Slovakia","Million euro","General government","Recreational and sporting services","Total general government expenditure","127.8","p"
"2011","Slovakia","Million euro","General government","Cultural services","Total general government expenditure","402.3","p"
"2011","Slovakia","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","118.3","p"
"2011","Slovakia","Million euro","General government","Religious and other community services","Total general government expenditure","48.9","p"
"2011","Slovakia","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0","p"
"2011","Slovakia","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","15.9","p"
"2011","Slovakia","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","2.4",""
"2011","Slovakia","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.4","p"
"2011","Slovakia","Percentage of total","General government","Cultural services","Total general government expenditure","1.4","p"
"2011","Slovakia","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.4","p"
"2011","Slovakia","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.2","p"
"2011","Slovakia","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0","p"
"2011","Slovakia","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.1","p"
"2011","Finland","Million euro","General government","Recreation, culture and religion","Total general government expenditure","2,361.0",""
"2011","Finland","Million euro","General government","Recreational and sporting services","Total general government expenditure","889.0",""
"2011","Finland","Million euro","General government","Cultural services","Total general government expenditure","1,066.0",""
"2011","Finland","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","2.0",""
"2011","Finland","Million euro","General government","Religious and other community services","Total general government expenditure","395.0",""
"2011","Finland","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","9.0",""
"2011","Finland","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.0",""
"2011","Finland","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","2.2",""
"2011","Finland","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.8",""
"2011","Finland","Percentage of total","General government","Cultural services","Total general government expenditure","1.0",""
"2011","Finland","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.0",""
"2011","Finland","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.4",""
"2011","Finland","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2011","Finland","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.0",""
"2011","Sweden","Million euro","General government","Recreation, culture and religion","Total general government expenditure","5,258.5",""
"2011","Sweden","Million euro","General government","Recreational and sporting services","Total general government expenditure","2,088.1",""
"2011","Sweden","Million euro","General government","Cultural services","Total general government expenditure","2,239.0",""
"2011","Sweden","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","874.3",""
"2011","Sweden","Million euro","General government","Religious and other community services","Total general government expenditure","8.9",""
"2011","Sweden","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","19.7",""
"2011","Sweden","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","28.5",""
"2011","Sweden","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","2.6",""
"2011","Sweden","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","1.0",""
"2011","Sweden","Percentage of total","General government","Cultural services","Total general government expenditure","1.1",""
"2011","Sweden","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.4",""
"2011","Sweden","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.0",""
"2011","Sweden","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2011","Sweden","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.0",""
"2011","Iceland","Million euro","General government","Recreation, culture and religion","Total general government expenditure","455.1",""
"2011","Iceland","Million euro","General government","Recreational and sporting services","Total general government expenditure","111.8",""
"2011","Iceland","Million euro","General government","Cultural services","Total general government expenditure","279.3",""
"2011","Iceland","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","28.4",""
"2011","Iceland","Million euro","General government","Religious and other community services","Total general government expenditure","32.7",""
"2011","Iceland","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","2.4",""
"2011","Iceland","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.5",""
"2011","Iceland","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","8.3",""
"2011","Iceland","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","2.0",""
"2011","Iceland","Percentage of total","General government","Cultural services","Total general government expenditure","5.1",""
"2011","Iceland","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.5",""
"2011","Iceland","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.6",""
"2011","Iceland","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.0",""
"2011","Iceland","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.0",""
"2011","Norway","Million euro","General government","Recreation, culture and religion","Total general government expenditure","5,547.9",""
"2011","Norway","Million euro","General government","Recreational and sporting services","Total general government expenditure","1,158.7",""
"2011","Norway","Million euro","General government","Cultural services","Total general government expenditure","1,987.2",""
"2011","Norway","Million euro","General government","Broadcasting and publishing services","Total general government expenditure","573.3",""
"2011","Norway","Million euro","General government","Religious and other community services","Total general government expenditure","1,015.3",""
"2011","Norway","Million euro","General government","R&D Recreation, culture and religion","Total general government expenditure","328.0",""
"2011","Norway","Million euro","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","485.4",""
"2011","Norway","Percentage of total","General government","Recreation, culture and religion","Total general government expenditure","3.5",""
"2011","Norway","Percentage of total","General government","Recreational and sporting services","Total general government expenditure","0.7",""
"2011","Norway","Percentage of total","General government","Cultural services","Total general government expenditure","1.3",""
"2011","Norway","Percentage of total","General government","Broadcasting and publishing services","Total general government expenditure","0.4",""
"2011","Norway","Percentage of total","General government","Religious and other community services","Total general government expenditure","0.6",""
"2011","Norway","Percentage of total","General government","R&D Recreation, culture and religion","Total general government expenditure","0.2",""
"2011","Norway","Percentage of total","General government","Recreation, culture and religion n.e.c.","Total general government expenditure","0.3",""
